section,kind,action,folds,features,threshold,smoke_test,saved_binary_f1,oof_rows,recomputed_binary_f1
1,pair,approach,5,380,0.16,passed,0.39260312944523473,1093562,0.39260312944523473
1,pair,attack,5,380,0.15,passed,0.5169508937743991,1147480,0.5169508937743991
1,pair,avoid,5,380,0.16,passed,0.48968842729970324,1524906,0.48968842729970324
1,pair,chase,5,380,0.09,passed,0.5488171009967575,1255316,0.5488171009967575
1,pair,chaseattack,5,380,0.37,passed,0.5756590827013363,1147480,0.5756590827013363
1,single,rear,5,414,0.28,passed,0.6396950400314572,544859,0.6396950400314572
1,pair,submit,5,380,0.05,passed,0.12460567823343849,1093562,0.12460567823343849
2,single,huddle,5,418,0.12,passed,0.6275198147008795,164371,0.6275198147008795
2,pair,reciprocalsniff,5,399,0.2,passed,0.6361101817776291,328742,0.6361101817776291
2,pair,sniffgenital,5,399,0.34,passed,0.4903643118702055,613716,0.4903643118702055
3,pair,approach,5,380,0.11,passed,0.5215605749486653,5443470,0.5215605749486653
3,pair,attack,5,380,0.25,passed,0.22841671571512653,5607030,0.22841671571512653
3,pair,avoid,5,380,0.11,passed,0.23824397757905097,5525250,0.23824397757905097
3,pair,chase,5,380,0.05,passed,0.03082888996606883,5525250,0.03082888996606883
3,pair,chaseattack,5,380,0.1,passed,0.28159365422751037,5525250,0.28159365422751037
3,single,rear,5,402,0.26,passed,0.5663300209872105,1941885,0.5663300209872105
3,pair,submit,5,380,0.02,passed,0.24295806134311007,5443470,0.24295806134311007
4,pair,attack,5,363,0.22,passed,0.4009274287039184,2210177,0.4009274287039184
4,pair,chase,5,363,0.02,passed,0.12878703186137508,1886178,0.12878703186137508
4,pair,dominance,5,363,0.18,passed,0.6565823229473818,323999,0.6565823229473818
4,pair,escape,5,363,0.05,passed,0.17815902342461234,1886178,0.17815902342461234
4,pair,follow,5,363,0.33,passed,0.7438886357288803,1238340,0.7438886357288803
4,pair,sniff,5,363,0.09,passed,0.4793393236209253,323999,0.4793393236209253
5,pair,attack,5,348,0.37,passed,0.7432591650773469,582552,0.7432591650773469
5,pair,defend,5,348,0.4,passed,0.6075538506934199,198020,0.6075538506934199
5,pair,escape,5,348,0.3,passed,0.7639296187683284,180020,0.7639296187683284
5,pair,mount,5,348,0.28,passed,0.8547132635072073,162000,0.8547132635072073
5,pair,sniff,5,348,0.45,passed,0.8966058026212613,303019,0.8966058026212613
6,pair,approach,5,324,0.26,passed,0.552123621579809,708496,0.552123621579809
6,pair,attack,5,324,0.24,passed,0.6198401898182072,708496,0.6198401898182072
6,single,biteobject,5,385,0.01,passed,0.09185441941074524,708496,0.09185441941074524
6,pair,chase,5,324,0.13,passed,0.6330679649976972,708496,0.6330679649976972
6,single,climb,5,385,0.18,passed,0.6196748784984079,708496,0.6196748784984079
6,pair,defend,5,324,0.15,passed,0.463684645344034,708496,0.463684645344034
6,single,dig,5,385,0.27,passed,0.6572747027370168,708496,0.6572747027370168
6,pair,escape,5,324,0.29,passed,0.6789903515425185,708496,0.6789903515425185
6,single,exploreobject,5,385,0.01,passed,0.1260057933698101,708496,0.1260057933698101
6,pair,flinch,5,324,0.02,passed,0.12441811256876852,708496,0.12441811256876852
6,pair,follow,5,324,0.17,passed,0.44382483188453337,708496,0.44382483188453337
6,single,rear,5,385,0.12,passed,0.33714044343584093,708496,0.33714044343584093
6,single,selfgroom,5,385,0.21,passed,0.5112538090318193,708496,0.5112538090318193
6,pair,shepherd,5,324,0.25,passed,0.5776674088028773,9504414,0.5776674088028773
6,pair,sniff,5,324,0.25,passed,0.5188203493766894,708496,0.5188203493766894
6,pair,sniffface,5,324,0.23,passed,0.644108031568207,708496,0.644108031568207
6,pair,sniffgenital,5,324,0.04,passed,0.2618657937806874,708496,0.2618657937806874
6,pair,tussle,5,324,0.01,passed,0.3496056833735254,708496,0.3496056833735254
7,pair,approach,5,183,0.25,passed,0.4828518635359863,829282,0.4828518635359863
7,single,climb,5,380,0.04,passed,0.6186335403726708,295896,0.6186335403726708
7,pair,defend,5,183,0.02,passed,0.12489208633093525,181927,0.12489208633093525
7,single,dig,5,380,0.2,passed,0.5740566801619433,771776,0.5740566801619433
7,pair,escape,5,183,0.13,passed,0.33664573553618243,715297,0.33664573553618243
7,single,rear,5,380,0.33,passed,0.7127682053055188,899134,0.7127682053055188
7,single,rest,5,380,0.23,passed,0.7053188304560423,530859,0.7053188304560423
7,single,run,5,380,0.02,passed,0.16737152377290784,413922,0.16737152377290784
7,single,selfgroom,5,380,0.18,passed,0.4294768183751595,899134,0.4294768183751595
7,pair,sniff,5,183,0.32,passed,0.6724170338965352,899134,0.6724170338965352
7,pair,sniffgenital,5,183,0.23,passed,0.568403074295474,762177,0.568403074295474
8,pair,allogroom,5,231,0.09,passed,0.18711041248848176,872515,0.18711041248848176
8,pair,approach,5,231,0.28,passed,0.5888481117556529,1036811,0.5888481117556529
8,pair,attack,5,231,0.4,passed,0.7821059856018457,4714828,0.7821059856018457
8,pair,attemptmount,5,231,0.06,passed,0.2868544600938967,699706,0.2868544600938967
8,pair,chase,5,231,0.11,passed,0.24381301558203483,617865,0.24381301558203483
8,single,dig,5,387,0.04,passed,0.3493062508940066,565839,0.3493062508940066
8,pair,disengage,5,231,0.24,passed,0.595401634010556,209306,0.595401634010556
8,pair,dominancegroom,5,231,0.06,passed,0.20809589310277068,565839,0.20809589310277068
8,pair,dominancemount,5,231,0.24,passed,0.5213686592996938,1234065,0.5213686592996938
8,pair,escape,5,231,0.28,passed,0.5770428284785166,715839,0.5770428284785166
8,single,genitalgroom,5,387,0.22,passed,0.7606823171761526,102445,0.7606823171761526
8,pair,intromit,5,231,0.38,passed,0.8703993996157867,2906088,0.8703993996157867
8,pair,mount,5,231,0.34,passed,0.7133882859628357,6154088,0.7133882859628357
8,single,rear,5,387,0.13,passed,0.3168518568828276,2352087,0.3168518568828276
8,pair,reciprocalsniff,5,231,0.34,passed,0.7691298383729945,300000,0.7691298383729945
8,single,selfgroom,5,387,0.08,passed,0.2980403674514987,2147320,0.2980403674514987
8,pair,sniff,5,231,0.36,passed,0.7055679656104149,10818652,0.7055679656104149
8,pair,sniffbody,5,231,0.31,passed,0.6023889539849521,888954,0.6023889539849521
8,pair,sniffface,5,231,0.34,passed,0.6996597196523183,746605,0.6996597196523183
8,pair,sniffgenital,5,231,0.27,passed,0.5288735298669477,7766320,0.5288735298669477
9,pair,approach,5,207,0.05,passed,0.32545685159956783,328566,0.32545685159956783
9,pair,attack,5,207,0.4,passed,0.7926060387711835,588649,0.7926060387711835
9,pair,defend,5,207,0.21,passed,0.5679443253292684,849942,0.5679443253292684
9,pair,escape,5,207,0.35000000000000003,passed,0.7525562372188139,515755,0.7525562372188139
9,single,freeze,5,345,0.07,passed,0.489599951837693,329777,0.489599951837693
9,single,rear,5,345,0.04,passed,0.5363135702607349,255767,0.5363135702607349
