row_id,video_id,agent_id,target_id,action,start_frame,stop_frame
0,438887472,mouse1,mouse3,submit,295,296
1,438887472,mouse1,mouse3,approach,2284,2288
2,438887472,mouse1,mouse3,approach,2290,2293
3,438887472,mouse1,mouse3,approach,2295,2296
4,438887472,mouse1,mouse4,attack,1280,1281
5,438887472,mouse1,mouse4,submit,1303,1304
6,438887472,mouse1,mouse4,submit,1415,1416
7,438887472,mouse1,mouse4,submit,1417,1430
8,438887472,mouse1,mouse4,submit,1470,1471
9,438887472,mouse1,mouse4,submit,1476,1478
10,438887472,mouse1,mouse4,submit,1480,1481
11,438887472,mouse1,mouse4,submit,1485,1486
12,438887472,mouse1,mouse4,submit,1487,1489
13,438887472,mouse1,mouse4,attack,1496,1501
14,438887472,mouse1,mouse4,attack,1504,1505
15,438887472,mouse1,mouse4,attack,1506,1538
16,438887472,mouse1,mouse4,submit,2370,2371
17,438887472,mouse1,mouse4,submit,2373,2375
18,438887472,mouse1,mouse4,submit,2378,2388
19,438887472,mouse1,mouse4,avoid,2556,2573
20,438887472,mouse1,mouse4,avoid,2574,2575
21,438887472,mouse1,self,rear,2180,2181
22,438887472,mouse1,self,rear,2191,2192
23,438887472,mouse1,self,rear,2336,2370
24,438887472,mouse1,self,rear,2372,2374
25,438887472,mouse1,self,rear,2383,2391
26,438887472,mouse1,self,rear,3080,3085
27,438887472,mouse1,self,rear,3088,3090
28,438887472,mouse1,self,rear,3093,3094
29,438887472,mouse1,self,rear,3097,3098
30,438887472,mouse1,self,rear,3102,3103
31,438887472,mouse1,self,rear,4306,4307
32,438887472,mouse1,self,rear,4316,4317
33,438887472,mouse1,self,rear,4318,4329
34,438887472,mouse1,self,rear,4337,4338
35,438887472,mouse1,self,rear,8851,8856
36,438887472,mouse1,self,rear,8862,8889
37,438887472,mouse1,self,rear,8890,9065
38,438887472,mouse1,self,rear,9068,9073
39,438887472,mouse1,self,rear,11513,11518
40,438887472,mouse1,self,rear,11519,11520
41,438887472,mouse1,self,rear,11525,11526
42,438887472,mouse1,self,rear,14461,14523
43,438887472,mouse2,mouse1,approach,735,736
44,438887472,mouse2,mouse1,avoid,1119,1120
45,438887472,mouse2,mouse1,avoid,1121,1137
46,438887472,mouse2,mouse1,avoid,1138,1139
47,438887472,mouse2,mouse1,avoid,1140,1166
48,438887472,mouse2,mouse1,avoid,8518,8519
49,438887472,mouse2,mouse1,avoid,8882,8883
50,438887472,mouse2,mouse1,avoid,8884,8923
51,438887472,mouse2,mouse1,approach,12055,12056
52,438887472,mouse2,mouse1,avoid,12563,12599
53,438887472,mouse2,mouse1,avoid,14877,14887
54,438887472,mouse2,mouse1,avoid,14889,14907
55,438887472,mouse2,mouse1,avoid,14908,14914
56,438887472,mouse2,mouse1,avoid,14916,14936
57,438887472,mouse2,mouse1,avoid,16634,16648
58,438887472,mouse2,mouse1,avoid,16654,16655
59,438887472,mouse2,mouse3,avoid,706,707
60,438887472,mouse2,mouse3,avoid,708,709
61,438887472,mouse2,mouse3,avoid,711,714
62,438887472,mouse2,mouse3,avoid,716,744
63,438887472,mouse2,mouse3,approach,1154,1155
64,438887472,mouse2,mouse3,approach,1362,1389
65,438887472,mouse2,mouse3,approach,1390,1392
66,438887472,mouse2,mouse3,approach,1393,1394
67,438887472,mouse2,mouse3,avoid,1405,1427
68,438887472,mouse2,mouse3,avoid,1428,1443
69,438887472,mouse2,mouse3,avoid,1444,1447
70,438887472,mouse2,mouse3,avoid,1449,1457
